File,Section,Flags,Clauses 
2MKT Verwaltungs GmbH anno.jsonl,"§ 10 Erbfolge (1) Im Falle des Todes eines Gesellschafters wird die Gesellschaft mit dessen Erben oder anderweitig durch Verfügung von Todes wegen Begünstigten fortgeführt. (2) Mehrere Rechtsnachfolger haben die Rechte und Pflichten der Gesellschaft gegenüber durch einen gemeinschaftlichen Vertreter oder durch einen Testamentsvollstrecker erfüllen zu lassen. 
Solange dieser nicht bestimmt ist, ruhen die Gesellschafterrechte mit Ausnahme des Gewinnbezugsrechtes. (3) Der Geschäftsanteil des verstorbenen Gesellschafters kann innerhalb von drei Monaten seit Bekanntwerden des Eintritts der Erbfolge eingezogen werden. 
Dem ausscheidenden Rechtsnachfolger steht eine Abfindung zu.",Green Flag,"Erbfolge, Erbfolge"
2MKT Verwaltungs GmbH anno.jsonl,"§ 11 Kündigung (1) Jeder Gesellschafter kann das Gesellschaftsverhältnis mit einer Frist von sechs Monaten zum Ende eines Geschäftsjahres gegenüber der Gesellschaft schriftlich kündigen.   (2) Durch die Kündigung wird die Gesellschaft vorbehaltlich Abs. 4 nicht aufgelöst; vielmehr scheidet der Gesellschafter zum Ende des betreffenden Geschäftsjahres aus der Gesellschaft aus. 
Ab Zugang der Kündigungserklärung ruhen seine Gesellschafterrechte mit Ausnahme der Vermögensrechte. (3) Der kündigende Gesellschafter ist verpflichtet, die Einziehung seines Geschäftsanteils zu dulden. 
Ihm steht eine Abfindung zu. (4) Wurde der Anteil des kündigenden Gesellschafters innerhalb von sechs Monaten nach seinem Ausscheiden weder eingezogen noch vollständig übernommen, so ist die Gesellschaft aufgelöst; der Kündigende nimmt an der Abwicklung teil.",Green Flag,"Kündigung, Kündigung"
2MKT Verwaltungs GmbH anno.jsonl,"§ 12 Abfindung (1) Ein Gesellschafter erhält vorbehaltlich Abs. 3 in allen Fällen, in denen dieser Gesellschaftsvertrag eine Abfindung vorsieht, den Verkehrswert seiner Beteiligung. (2) Kommt eine Einigung über die Abfindung binnen sechs Monaten nach dem Tag des Ausscheidens nicht zustande, so wird sie von einem Wirtschaftsprüfer nach den Grundsätzen einer ordnungsgemäßen Unternehmensbewertung des Institutes der Wirtschaftsprüfer in Deutschland e.V. verbindlich festgelegt. 
Können sich die Gesellschafter nicht innerhalb von drei Wochen nach Ablauf der in Satz 1 genannten Frist auf einen Wirtschaftsprüfer einigen, so wird dieser auf Antrag eines Gesellschafters von dem Präsidenten der für den Sitz der Gesellschaft zuständigen Industrie- und Handelskammer bestimmt. 
Die Kosten der Ermittlung der Abfindung sind von der Gesellschaft und dem ausgeschiedenen Gesellschafter im Verhältnis des Obsiegens/Unterliegens zu tragen. (3) Abweichend von Abs. 1 entspricht die Abfindung im Falle einer Zwangseinziehung oder -abtretung aus wichtigem Grund dem Buchwert des Geschäftsanteils (Nennbetrag zuzüglich des Anteils an offenen Rücklagen und Gewinnvortrag abzüglich Verlustvortrag). (4) Die Abfindung ist dem ausscheidenden Gesellschafter längstens in drei gleichen Halbjahresraten auszuzahlen, die erste ein halbes Jahr nach dem Zeitpunkt des Ausscheidens. 
Der jeweils ausstehende Betrag ist mit 2 Prozentpunkten p.a. über dem Basiszinssatz zu verzinsen.",Green Flag,"Abfindung, Abfindung"
2MKT Verwaltungs GmbH anno.jsonl,§ 13 Wettbewerb (1) Die Gesellschafter unterliegen einem Wettbewerbsverbot. (2) Durch Gesellschafterbeschluss können einzelne oder alle Gesellschafter von dem Wettbewerbsverbot befreit werden.,Green Flag,"Wettbewerb, Wettbewerb"
2MKT Verwaltungs GmbH anno.jsonl,"§ 14 Schlussbestimmungen (1) Sollten einzelne Bestimmungen dieses Vertrages unwirksam sein oder werden, so wird die Rechtswirksamkeit der übrigen Bestimmungen dadurch nicht berührt. 
Die betreffende Bestimmung ist durch eine wirksame zu ersetzen, die dem angestrebten wirtschaftlichen Zweck möglichst nahe kommt. (2) Die mit der Gründung verbundenen Kosten (Gebühren, Steuern, ggf. 
Entgelte für beigezogene Dritte) trägt die Gesellschaft bis zu einem Gesamtbetrag von € 2.500,00.",Green Flag,"Schlussbestimmungen, Schlussbestimmungen"
4Sports GmbH anno.jsonl,Gesellschaftsvertrag,,TITEL
4Sports GmbH anno.jsonl,"§ 1 Firma und Sitz 1. 
Die Firma der Gesellschaft lautet: 4Sports GmbH. 2. 
Die Gesellschaft hat ihren Sitz in Norderstedt.",RED FLAG,"Firma, Firma, Sitz, Sitz"
4Sports GmbH anno.jsonl,"§ 2 Gegenstand des Unternehmens 1. 
Gegenstand des Unternehmens ist der Betrieb von stationären Sport- und Fitnessstudios und damit im Zusammenhang stehende Tätigkeiten, soweit nicht erlaubnispflichtig. 2. 
Die Gesellschaft kann alle Geschäfte tätigen, die den Unternehmensgegenstand fördern. 
Sie darf insbesondere gleichartige oder ähnliche Unternehmen in jeder zulässigen Rechtsform errichten, erwerben, vertreten oder sich an solchen Unternehmen beteiligen. 
Sie darf Zweigniederlassungen errichten.",RED FLAG,"Gegenstand, Gegenstand, Gegenstand"
4Sports GmbH anno.jsonl,"§ 3 Stammkapital, Einlagen 1. 
Das Stammkapital der Gesellschaft beträgt 25.000,- € (in Worten: fünfundzwanzigtausend Euro) 2. 
Es übernimmt auf das Stammkapital: Herr Cedric Clauß 25.000 Geschäftsanteile mit dem Nennwert von jeweils 1,00 € (in Worten: ein Euro) – Geschäftsanteile Nrn. 1 - 25.000. 3. 
Die Geschäftsanteile sind sofort in voller Höhe in bar zu leisten.",RED FLAG,"Stammkapital, Stammeinlagen, Stammkapital, Stammeinlagen, Stammeinlagen"
4Sports GmbH anno.jsonl,"§ 4 Dauer der Gesellschaft, Geschäftsjahr, Kündigung 1. 
Die Gesellschaft ist auf unbestimmte Zeit geschlossen. 2. 
Geschäftsjahr der Gesellschaft ist das Kalenderjahr. 3. 
Das erste Geschäftsjahr ist ein Rumpfgeschäftsjahr. 
Es beginnt mit der Eintragung der Gesellschaft im Handelsregister und endet am 31.12. des Eintragungsjahrs. 4. 
Die Mitgliedschaft in der Gesellschaft kann mit einer Frist von 12 Monaten zum Schluss eines jeden Geschäftsjahres ordentlich gekündigt werden. 
Die Kündigung ist der Geschäftsführung gegenüber durch eingeschriebenen Brief zu erklären, wobei Gesellschafter, die auch zum Geschäftsführer bestellt sind, nicht zur Entgegennahme ihrer eigenen Kündigung berechtigt sind.  5. 
Durch die Kündigung wird die Gesellschaft nicht aufgelöst. 
Der Geschäftsanteil des kündigenden Gesellschafters kann in entsprechender Anwendung des § 13 gegen eine Abfindung eingezogen werden. 
Alternativ kann der kündigende Gesellschafter seinen Geschäftsanteil den übrigen Gesellschaftern zum Ankauf anbieten.","Orange Flag, Orange Flag, Green Flag, Green Flag","Dauer, Geschäftsjahr, Kündigung, Kündigung, Kündigung, Geschäftsjahr, Geschäftsjahr, Dauer, Rechtliche_Bezüge"
4Sports GmbH anno.jsonl,"§ 5 Geschäftsführung und Vertretung 1. 
Die Gesellschaft hat einen oder mehrere Geschäftsführer. 
Ist nur ein Geschäftsführer bestellt, vertritt er die Gesellschaft allein. 
Sind mehrere Geschäftsführer bestellt, wird die Gesellschaft durch jeweils zwei Geschäftsführer gemeinschaftlich oder durch einen Geschäftsführer in Gemeinschaft mit einem Prokuristen vertreten. 2. 
Jedem Geschäftsführer kann durch Gesellschafterbeschluss Einzelvertretungsbefugnis und Befreiung von den Beschränkungen des § 181 BGB erteilt werden, sodass er die Gesellschaft bei Rechtsgeschäften mit sich selbst oder mit sich als Vertreter eines Dritten vertreten kann. 3. 
Die vorstehenden Bestimmungen finden auch auf Liquidatoren Anwendung. 
Die Geschäftsführer sind gleichzeitig auch die Liquidatoren, soweit die Gesellschafterversammlung nicht andere Personen zum Liquidator bestellt.",Orange Flag,"Geschäftsführung, Vertretung, Geschäftsführung, Vertretung, Vertretung, Geschäftsführung, Rechtliche_Bezüge"
4Sports GmbH anno.jsonl,§ 6 Wettbewerbsverbot Von einem vertraglichen Wettbewerbsverbot wird bei der Gründung abgesehen.,Green Flag,"Wettbewerb, Wettbewerb"
4Sports GmbH anno.jsonl,"§ 7 Gesellschafterversammlung 1. 
Die ordentliche Gesellschafterversammlung findet jährlich innerhalb von zwei Monaten nach Aufstellung des Jahresabschlusses statt. 
Außerordentliche Gesellschafterversammlungen sind abzuhalten, wenn eine Beschlussfassung der Gesellschafter erforderlich wird oder die Abhaltung einer Gesellschafterversammlung aus einem sonstigen Grund im Interesse der Gesellschaft liegt. 2. 
Gesellschafterversammlungen finden am Sitz der Gesellschaft statt, sofern nicht sämtliche Gesellschafter der Abhaltung an einem anderen Ort zustimmen. 3. 
Die Gesellschafterversammlung wird durch die Geschäftsführung einberufen, wobei ungeachtet der Regelung der Geschäftsführungs- und Vertretungsbefugnis die Einberufung durch einen Geschäftsführer genügt. 4. 
Die Ladung zur Gesellschafterversammlung erfolgt durch Einwurf-Einschreiben, per Telefax oder schriftlich durch persönliche Übergabe unter Mitteilung von Ort, Zeit und Tagesordnung sowie bei der Ladung zur ordentlichen Gesellschafterversammlung unter Beifügung des Jahresabschlusses. 
Die Ladungsfrist beträgt für die ordentliche Gesellschafterversammlung zwei Wochen und für außerordentliche Gesellschafterversammlungen eine Woche, wobei der Tag der Briefaufgabe (bei Zustellung durch Einwurf-Einschreiben) und der Tag der Versammlung nicht mitzuzählen sind. 5. 
Die Versammlung wird vom Vorsitzenden geleitet, welcher mit einfacher Mehrheit zu wählen ist.  6. 
Die Gesellschafterversammlung ist beschlussfähig, wenn das gesamte Stammkapital anwesend bzw. vertreten ist. 
Im Fall der Beschlussunfähigkeit ist bei der ordentlichen Gesellschafterversammlung innerhalb von zwei Wochen und bei außerordentlichen Gesellschafterversammlungen innerhalb von einer Woche eine neue Gesellschafterversammlung mit gleicher Tagesordnung einzuberufen, die ohne Rücksicht auf das vertretene Stammkapital beschlussfähig ist, wenn hierauf in der Ladung hingewiesen worden ist. 7. 
In einer nicht ordnungsgemäß einberufenen Gesellschafterversammlung können Beschlüsse nur gefasst werden, wenn das gesamte Stammkapital vertreten ist und kein Widerspruch gegen die Beschlussfassung erhoben wird. 
Gleiches gilt für die Beschlussfassung über Anträge von Gesellschaftern, die nicht spätestens drei Tage vor dem Tag der Gesellschafterversammlung bei der Geschäftsführung eingegangen sind. 8. 
Jeder Gesellschafter kann sich in den Gesellschafterversammlungen durch seinen Ehegatten, einen Mitgesellschafter oder eine zur Berufsverschwiegenheit verpflichtete sachkundige Person, die in keinem Wettbewerb zur Gesellschaft steht, vertreten lassen. 
Die Vollmacht bedarf der Schriftform.","Orange Flag, Orange Flag","Gesellschafterversammlung, Gesellschafterversammlung, Gesellschafterversammlung, Gesellschafterversammlung, Gesellschafterversammlung, Gesellschafterversammlung, Gesellschafterversammlung, Gesellschafterversammlung, Gesellschafterversammlung"
4Sports GmbH anno.jsonl,"§ 8 Gesellschafterbeschlüsse 1. 
Gesellschafterbeschlüsse bedürfen zu ihrer Wirksamkeit grundsätzlich der Mehrheit der Stimmen. 
Abgestimmt wird nach Geschäftsanteilen, je 1,00 € eines Geschäftsanteils gewähren eine Stimme. 2. Über wichtige Gesellschafterbeschlüsse ist – sofern nicht notarielle Beurkundung erforderlich ist – unverzüglich eine Niederschrift aufzunehmen, die jedem Gesellschafter in Abschrift auszuhändigen oder zu übersenden ist. 3. 
Beschlüsse der Gesellschafterversammlung können nur innerhalb einer Frist von drei Monaten seit der Beschlussfassung oder bei schriftlicher Bekanntgabe nach Zugang der Benachrichtigung angefochten werden. 
Die Anfechtungsfrist ist nur gewahrt, wenn innerhalb dieser Frist die Klage erhoben wird. 
Zur Erhebung der Klage ist jeder Gesellschafter und Geschäftsführer berechtigt. 4. 
Gesellschafterbeschlüsse können auch außerhalb einer Gesellschafterversammlung schriftlich, telefonisch, per E-Mail oder per Telefax gefasst werden, wenn sich sämtliche Gesellschafter mit der vorgeschlagenen Abstimmungsart einverstanden erklären oder an der Abstimmung teilnehmen und keine zwingenden gesetzlichen Formvorschriften entgegenstehen.","Green Flag, Green Flag","Gesellschafterbeschlüsse, Gesellschafterbeschlüsse, Gesellschafterbeschlüsse, Gesellschafterbeschlüsse, Gesellschafterbeschlüsse"
4Sports GmbH anno.jsonl,"§ 9 Jahresabschluss, Ergebnisverwendung 1. 
Der Jahresabschluss und – soweit erforderlich – der Lagebericht sind gemäß den gesetzlichen Vorgaben von der Geschäftsführung innerhalb der gesetzlichen Fristen aufzustellen, zu unterzeichnen und den Gesellschaftern zum Zweck der Feststellung vorzulegen. 2. 
Die Gesellschafter haben innerhalb der gesetzlichen Fristen über die Feststellung des Jahresabschlusses und die Ergebnisverwendung zu beschließen. 3. 
Der ausgeschüttete Gewinn steht den Gesellschaftern im Verhältnis ihrer Geschäftsanteile zu.  4. 
Vorabausschüttungen auf den zu erwartenden Gewinn des Geschäftsjahres können bereits vor dessen Ablauf beschlossen werden. 5. 
Im Übrigen gilt für die Verwendung des Jahresergebnisses die gesetzliche Bestimmung des § 29 GmbHG. 6. 
Die Gesellschafter können durch einen einstimmigen und schriftlich begründeten Gesellschafterbeschluss eine von den vorstehenden Regelungen abweichende, auch inkongruente Gewinnverwendung und Gewinnverteilung festlegen.",Green Flag,"Jahresabschluss, Jahresabschluss, Jahresabschluss, Ergebnisverwendung, Ergebnisverwendung, Ergebnisverwendung, Ergebnisverwendung, Ergebnisverwendung, Ergebnisverwendung, Rechtliche_Bezüge"
4Sports GmbH anno.jsonl,"§ 10 Teilung und Vereinigung von Geschäftsanteilen 1. 
Die Teilung von Geschäftsanteilen erfolgt durch Gesellschafterbeschluss, auf Antrag oder mit Zustimmung des betroffenen Gesellschafters. 2. 
Ist ein Gesellschafter Inhaber mehrerer Geschäftsanteile, die jeweils in voller Höhe eingezahlt worden sind, können diese Geschäftsanteile auf Antrag oder mit Zustimmung des betreffenden Gesellschafters durch Gesellschafterbeschluss miteinander vereinigt werden.",Green Flag,"Veräußerung, Veräußerung, Veräußerung"
4Sports GmbH anno.jsonl,"§ 11 Verfügung über Geschäftsanteile 1. 
Zur Verfügung über Geschäftsanteile und Teile von Geschäftsanteilen – insbesondere zur Abtretung, Verpfändung oder Nießbrauchbestellung – ist die schriftliche Zustimmung der übrigen Gesellschafter erforderlich. 
Die Zustimmung darf nur aus wichtigem Grund versagt werden. 2. 
Beabsichtigt ein Gesellschafter, über seinen Geschäftsanteil oder Teile seines Geschäftsanteils gemäß Absatz 1 zu verfügen, so hat er seinen Geschäftsanteil oder Teile seines Geschäftsanteils zunächst den übrigen Gesellschaftern schriftlich zum Kauf anzubieten (schriftliche Anzeige), wobei die übrigen Gesellschafter im Verhältnis ihrer bisherigen Beteiligung zueinander erwerbsberechtigt sind. 
Die erwerbsberechtigten Gesellschafter haben sich dann innerhalb eines Monats nach Eingang der schriftlichen Anzeige über ihre Erwerbsbereitschaft zu erklären. 
Wird innerhalb dieser Frist keine Erklärung abgegeben, gilt die Übernahme von dem betreffenden Gesellschafter als abgelehnt. 
Soweit Gesellschafter von ihrem Ankaufsrecht keinen Gebrauch machen, wächst das Erwerbsrecht den ankaufswilligen Gesellschaftern verhältnismäßig zu ihrer bisherigen Beteiligung zu. 
Ein unteilbarer Spitzenbetrag steht dem am höchsten beteiligten Gesellschafter zu. Über den Ankauf nicht übernommener Teile der Beteiligung haben sich die noch ankaufsberechtigten Gesellschafter innerhalb einer weiteren Frist von zwei Wochen zu erklären. 3. 
Im Fall der Ausübung des Ankaufsrechts erhält der veräußerungswillige Gesellschafter als Gegenleistung den Betrag, der sich gemäß § 13 Absätze 6 - 8 dieser Satzung als Wert seines Anteils errechnet. 
Abweichend von § 13 Absatz 8 ist dieser Betrag innerhalb von vier Wochen nach rechtswirksamer Anteilsübertragung zur Zahlung fällig. 4. 
Für den Fall, dass zu einer Verfügung gemäß Absatz 1 die Zustimmung der Gesellschafter nicht erteilt wird, ist der betroffene Gesellschafter berechtigt, mit einer Frist von sechs Monaten zum Ende eines Geschäftsjahres seinen Austritt aus der Gesellschaft zu erklären. 
Die Austrittserklärung hat durch eingeschriebenen Brief oder gegen Empfangsbekenntnis an die Geschäftsführung zu erfolgen. 
Die Folgen der Kündigung richten sich nach § 4 Absatz 5 dieser Satzung.",,"Sonstige_Klauseln, Sonstige_Klauseln, Sonstige_Klauseln, Sonstige_Klauseln, Sonstige_Klauseln, Rechtliche_Bezüge, Rechtliche_Bezüge, Rechtliche_Bezüge, Rechtliche_Bezüge, Rechtliche_Bezüge"
4Sports GmbH anno.jsonl,"§ 12 Erbfolge 1. 
Im Fall des Todes eines Gesellschafters wird die Gesellschaft mit seinen Erben oder den anderweitig durch Verfügung von Todes wegen Begünstigten fortgesetzt. 2. 
Mehrere Rechtsnachfolger haben ihre Rechte bis zu einer endgültigen Auseinandersetzung durch einen gemeinsamen Bevollmächtigten erfüllen zu lassen. 
Bevollmächtigter kann einer der Miterben oder Mit-Vermächtnisnehmer, ein Mitgesellschafter oder eine zur Berufsverschwiegenheit verpflichtete sachkundige Person sein, die in keinem Wettbewerb zur Gesellschaft steht. 
Solange der Bevollmächtigte nicht bestellt ist, ruhen die Gesellschafterrechte mit Ausnahme des Gewinnbezugsrechts. 3. 
Hat ein verstorbener Gesellschafter einen Testamentsvollstrecker bezüglich seiner Beteiligung eingesetzt, ist der Testamentsvollstrecker berechtigt, alle gesellschaftsrechtlichen Rechte der Gesellschafternachfolger wahrzunehmen. 4. 
Im Fall des Todes eines Gesellschafters kann die Gesellschafterversammlung nach Maßgabe der Bestimmungen dieses Gesellschaftsvertrags wahlweise die Einziehung oder Abtretung des Geschäftsanteils beschließen, oder dessen verhältnismäßigen Ankauf durch die verbleibenden Gesellschafter. 
Der Beschluss kann nur innerhalb von zwölf Monaten nach Vorliegen der Erbnachweise bei der Gesellschaft gefasst werden. 
Der Erbe / die Erben ist / sind bei dieser Beschlussfassung nicht stimmberechtigt. 
Als Vergütung ist in diesem Fall abweichend von den nachstehenden Regelungen des § 13 Abs. 6 der Verkehrswert des eingezogenen bzw. zwangsweise abgetretenen Geschäftsanteils maßgeblich. § 13 Abs. 7 bis 8 dieser Satzung gelten entsprechend.",Green Flag,"Erbfolge, Erbfolge, Erbfolge, Erbfolge, Erbfolge, Rechtliche_Bezüge"
