File,Section,Flags,Clauses
KTR Komplementär-GmbH.jsonl,,,
KTR Komplementär-GmbH.jsonl,"29, 42a  GmbHG. 
Die  Gesellschafterversammlung kann jederzeit auch über Entnahmen, Sachentnahmen 
und/oder Sachausschüttungen beschließen.",Orange Flag,
KTR Komplementär-GmbH.jsonl,"8 
Verfügung über Geschäftsanteile 
Die  Verfügung über Geschäftsanteile oder Teile  von  Geschäftsanteilen, insbesondere  die  Abtre-
tung, Verpfändung, Nießbrauchbestellung oder sonstige Belastung  von  Geschäftsanteilen, bedarf 
zu ihrer Wirksamkeit  der  Zustimmung  der  Gesellschafterversammlung.  Die  Gesellschafterver-
(3) 
(2) 
(3) 

Seite  5 von 6 
sammlung hat über  die  Zustimmung durch Beschluss zu entscheiden. Davon ausgenommen sind 
Verfügungen durch  den  Gesellschafter Kjell  Fischer, die  stets zustimmungsfrei sind.",Orange Flag,
KTR Komplementär-GmbH.jsonl,"9 
Vererbung  von  Geschäftsanteilen 
(1)
Die  Geschäftsanteile gehen im Todesfall auf  die  Erben über. 
(2)
Gehen  die  Geschäftsanteile auf mehrere Erben oder auf eine Erbengemeinschaft über, so 
ruht das Stimmrecht  der  Erben, bis sie einen Bevollmächtigten benannt haben und  der  Be-
vollmächtigte eine  von  allen Erben unterzeichnete Vollmacht vorlegt,  die  ihn zur einheitli-
chen Wahrnehmung  der  Mitgliedschaftsrechte  der  Erben ermächtigt.",,
KTR Komplementär-GmbH.jsonl,"10 
Einziehung 
(1) 
Geschäftsanteile können mit Zustimmung  des  betroffenen Gesellschafters jederzeit einge-
zogen werden. 
Ohne Zustimmung ist  die  Einziehung jedes Geschäftsanteils eines Gesellschafters zulässig: 
a)
wenn ein Gesellschafter eine eidesstattliche Versicherung gemäß","Green Flag, Green Flag",
KTR Komplementär-GmbH.jsonl,"807  ZPO abgibt, 
b)
wenn über sein Vermögen ein Insolvenzverfahren eröffnet wurde oder wenn  die  Er-
öffnung eines solchen Verfahrens mangels  Masse  abgelehnt wurde, 
c)
wenn  der  Gläubiger eines Gesellschafters dessen Geschäftsanteil pfändet oder sonst 
die  Zwangsvollstreckung  in den  Geschäftsanteil betreibt, 
d)
wenn ein Gesellschafter nicht mehr als Kommanditist  an der  KTR GmbH &  Co. KG 
beteiligt ist. 
(2) 
Steht  der  Anteil mehreren Berechtigten zu, genügt  es,  wenn  die  Einziehungsvoraussetzun-
gen nur bei einem  von  ihnen vorliegen. 
(3) 
Über  die  Einziehung beschließt  die  Gesellschafterversammlung.  Die  Einziehung wird mit 
Zugang  des  Einziehungsbeschlusses  an den  betreffenden Gesellschafter wirksam. Erfolgt 
die  Einziehung mit Zustimmung  des  betroffenen Gesellschafters, so bleibt dessen Stimm-
recht unberührt.  In  allen übrigen Fällen hat  der  betroffene Gesellschafter im Zeitraum ab 

Seite 6 von 6 
der Beschlussfassung iiber die Einziehung zwar kein Stimmrecht, ist jedoch berechtigt, an 
Gesellschafterversammlungen teilzunehmen. 
(4)
Anstelle der Einziehung kann die Gesellschafterversammlung beschliegen, dass der be­
troffene Gesellschafter seine Geschaftsanteile an einen van der Gesellschaft zu benennen­
den Dritten oder - bei Vorliegen der gesetzlichen Voraussetzungen - an die Gesellschaft
selbst abzutreten hat. In diesem Fall ruht das Stimmrecht aus den betroffenen Geschafts­
anteilen bis zum Wirksamwerden der Abtretung.","Green Flag, Orange Flag, Green Flag, Green Flag, Green Flag, Green Flag, Orange Flag",
KTR Komplementär-GmbH.jsonl,"11
Wettbewerbsverbot 
Den Gesellschaftern und Geschaftsfiihrern kann Befreiung vom Wettbewerbsverbot erteilt wer­
den. Ober Art und Umfang der Befreiung beschliegen die Gesellschafter.",,
KTR Komplementär-GmbH.jsonl,"12
Bekanntmachungen 
Bekanntmachungen der Gesellschaft erfolgen ausschJieglich im Bundesanzeiger.",,
KTR Komplementär-GmbH.jsonl,"13
Grfindungsaufwand 
Die Kosten der Griindung (Kosten fur Notar, Registergericht, Veroffentlichung) tragt die Gesell­
schaft bis zu einem Betrag von EUR 2.500.","Green Flag, Green Flag",
KTR Komplementär-GmbH.jsonl,"14
Salvatorische Klausel 
Sollte eine Bestimmung dieses Gesellschaftsvertrags ganz oder teilweise unwirksam oder un­
durchfiihrbar sein oder werden, so wird dadurch die Wirksamkeit der iibrigen Bestimmungen 
dieses Gesellschaftsvertrags nicht beriihrt. Das Gleiche gilt, wenn und soweit sich in diesem Ge­
sellschaftsvertrag eine Lucke herausstellen sollte. Anstelle der unwirksamen oder undurchfiihr­
baren Bestimmung oder zur Ausfiillung der Lucke soll diejenige angemessene Regelung gelten, 
die, soweit rechtlich moglich, dem am nachsten kommt, was die Vertragsparteien wirtschaftlich 
gewollt haben oder nach dem Sinn und Zweck dieses Gesellschaftsvertrags gewollt hatten, so­
fern sie bei Abschluss dieses Gesellschaftsvertrags oder der spateren Aufnahme der Bestimmung 
diesen Punkt bedacht hatten. Die Gesellschafter verpflichten sich, eine entsprechende Ersatz­
oder Erganzungsregel in der erforderlichen Form zu beschliegen. Der Rechtsgedanke des",Green Flag,
KTR Komplementär-GmbH.jsonl,"139 
BGB findet keine Anwendung, auch nicht in Form einer Beweislastregel.",,
